page number,count,url
4,47,https://www.nofrills.ca/en/medium-ground-beef/p/21604937_EA?source=nspt
8,19,https://www.nofrills.ca/en/chicken-broth/p/20322348002_EA?source=nspt
9,39,https://www.nofrills.ca/en/essential-clean-liquid-dish-soap-original-scent/p/20861400_EA?source=nspt
12,10,https://www.nofrills.ca/en/cashews-salted/p/20314862002_EA?source=nspt
12,31,https://www.nofrills.ca/en/granulated-sugar/p/20145033_EA?source=nspt
20,70,https://www.nofrills.ca/en/punch-drink/p/20109062_EA?source=nspt
26,91,https://www.nofrills.ca/en/vector-meal-replacement-cereal/p/20072706_EA?source=nspt
31,88,https://www.nofrills.ca/en/vector-meal-replacement-family-size/p/21504064_EA?source=nspt
33,19,https://www.nofrills.ca/en/chocolate-milk/p/20766719_EA?source=nspt
33,20,https://www.nofrills.ca/en/cilantro/p/20091825001_EA?source=nspt
44,89,https://www.nofrills.ca/en/vector-meal-replacement-cereal/p/20015041_EA?source=nspt
50,9,https://www.nofrills.ca/en/avocado/p/21097012001_EA?source=nspt
50,70,https://www.nofrills.ca/en/ranch/p/20301959001_EA?source=nspt
50,73,https://www.nofrills.ca/en/red-peppers/p/20007535001_KG?source=nspt
54,57,https://www.nofrills.ca/en/pink-lemonade-frozen-concentrate/p/21740240_EA?source=nspt
55,71,https://www.nofrills.ca/en/original-bread/p/21509822_EA?source=nspt
56,72,https://www.nofrills.ca/en/salted-butter/p/20325029_EA?source=nspt
58,95,https://www.nofrills.ca/en/white-potatoes-10-lb-bag/p/20600997001_EA?source=nspt
60,19,https://www.nofrills.ca/en/cauliflower/p/20135377001_EA?source=nspt
60,20,https://www.nofrills.ca/en/celery-stalks/p/20163119001_EA?source=nspt
62,29,https://www.nofrills.ca/en/cream-of-mushroom-ready-to-serve-soup/p/21479122_EA?source=nspt
64,71,https://www.nofrills.ca/en/regular-ripple-cut-potato-chips/p/21302821_EA?source=nspt
66,59,https://www.nofrills.ca/en/peaches-cream-corn/p/21021485_EA?source=nspt
66,60,https://www.nofrills.ca/en/pineapple/p/20160992001_EA?source=nspt
68,67,https://www.nofrills.ca/en/red-onion/p/20134101001_KG?source=nspt
70,40,https://www.nofrills.ca/en/giuseppe-pizzeria-easy-pizzi-3-cheese/p/21362407_EA?source=nspt
76,33,https://www.nofrills.ca/en/double-cream-brie-cheese/p/20787166_EA?source=nspt
77,79,https://www.nofrills.ca/en/smoked-whole-responsibly-farmed-oysters-in-sunflow/p/21193916_EA?source=nspt
77,80,https://www.nofrills.ca/en/soda/p/21356963_C06?source=nspt
79,20,https://www.nofrills.ca/en/cauliflower/p/20135377001_EA?source=nspt
86,20,https://www.nofrills.ca/en/beer-id-required-at-pick-up/p/20955258_C06?source=nspt
